ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
100163,M,Y,N,0,136500,Commercial associate,Incomplete higher,Civil marriage,Rented apartment,-23158,-2390,1,0,0,1,Drivers,2
100164,F,Y,N,2,178500,Commercial associate,Lower secondary,Widow,Office apartment,-13407,-7501,1,0,0,1,Laborers,4
100165,F,N,N,2,221000,State servant,Academic degree,Married,Rented apartment,-17507,-9883,1,0,1,1,Managers,4
100166,F,N,Y,2,216500,State servant,Incomplete higher,Separated,Rented apartment,-10731,-9238,1,0,0,0,,4
100167,F,N,Y,1,469000,State servant,Lower secondary,Married,Rented apartment,-14930,-4139,1,0,1,1,Core staff,3
100168,F,N,N,4,328000,Working,Incomplete higher,Widow,Office apartment,-9784,-1791,1,0,1,0,Cleaning staff,5
100169,F,N,N,4,104000,Working,Secondary / secondary special,Civil marriage,With parents,-23733,-12236,1,0,1,1,Medicine staff,6
100170,M,N,Y,4,297000,Working,Incomplete higher,Separated,House / apartment,-10803,-13620,1,0,1,1,Accountants,6
100171,F,N,N,1,99500,State servant,Lower secondary,Civil marriage,House / apartment,-16839,-732,1,0,0,1,Cleaning staff,2
100172,M,Y,Y,1,219000,Student,Lower secondary,Separated,With parents,-20272,-10317,1,0,0,1,Medicine staff,2
100173,M,N,N,4,249000,Working,Higher education,Married,Rented apartment,-9050,-9459,1,0,0,1,Accountants,5
100174,M,N,N,3,320000,Pensioner,Academic degree,Separated,Office apartment,-19862,-9617,1,0,1,1,Security staff,4
100175,M,Y,N,2,110000,Commercial associate,Incomplete higher,Single / not married,With parents,-19232,-11361,1,0,1,1,Cooking staff,3
100176,F,N,Y,4,299000,Student,Higher education,Widow,With parents,-23044,-4732,1,0,0,1,Security staff,5
100177,M,N,Y,2,149500,State servant,Academic degree,Widow,Municipal apartment,-20406,-11218,1,1,1,1,Security staff,3
100178,M,Y,N,0,66500,Pensioner,Higher education,Widow,Rented apartment,-12511,-12791,1,1,1,0,Cooking staff,1
100179,F,Y,N,2,329500,Commercial associate,Lower secondary,Single / not married,With parents,-16755,-14332,1,0,1,1,Accountants,3
100180,M,Y,Y,3,465000,Student,Incomplete higher,Widow,Municipal apartment,-12438,-10095,1,0,0,0,Laborers,5
100181,F,Y,N,4,410000,Pensioner,Incomplete higher,Widow,Rented apartment,-23856,-14748,1,0,0,1,Laborers,6
100182,M,Y,Y,1,414000,Pensioner,Higher education,Separated,Municipal apartment,-11658,-9460,1,1,1,1,Security staff,2
100183,F,N,N,0,282500,State servant,Incomplete higher,Widow,House / apartment,-10052,-11975,1,1,1,0,IT staff,2
100184,F,Y,N,1,187000,Pensioner,Incomplete higher,Civil marriage,Office apartment,-11279,-9275,1,1,1,0,Laborers,2
100185,M,Y,Y,3,275500,State servant,Secondary / secondary special,Separated,With parents,-11322,-14453,1,1,0,1,Core staff,5
100186,M,N,Y,2,76500,State servant,Incomplete higher,Married,Municipal apartment,-9988,-11529,1,0,0,0,Security staff,3
100187,M,N,Y,1,54000,Pensioner,Secondary / secondary special,Separated,With parents,-22653,-1160,1,0,1,0,,2
100188,F,N,N,0,120000,State servant,Higher education,Married,House / apartment,-24383,-9228,1,0,0,1,Accountants,1
100189,F,N,Y,1,94000,Working,Higher education,Single / not married,Office apartment,-19583,-5759,1,1,1,0,Sales staff,3
100190,M,N,Y,0,484000,Pensioner,Higher education,Widow,Office apartment,-23696,-3090,1,1,1,0,Sales staff,2
100191,M,Y,N,3,376500,Student,Secondary / secondary special,Widow,House / apartment,-18832,-5185,1,0,1,1,Accountants,4
100192,M,Y,Y,3,57000,Pensioner,Higher education,Single / not married,House / apartment,-20040,-8300,1,1,1,1,,5
100193,M,N,Y,0,208500,Working,Academic degree,Married,With parents,-24576,-5353,1,1,0,1,,2
100194,M,Y,Y,1,272000,Working,Lower secondary,Widow,Office apartment,-8803,-5067,1,0,0,0,,2
100195,M,N,N,0,317500,Student,Incomplete higher,Married,Rented apartment,-11159,-12284,1,1,0,0,Accountants,2
100196,M,N,Y,2,304000,State servant,Academic degree,Civil marriage,House / apartment,-23371,-14079,1,0,1,0,Drivers,3
100197,M,Y,Y,4,72500,Working,Higher education,Single / not married,Municipal apartment,-18926,-6274,1,0,0,0,IT staff,6
100198,F,Y,N,1,418500,Pensioner,Incomplete higher,Single / not married,Office apartment,-19216,-1956,1,0,0,0,IT staff,2
100199,M,N,N,3,446000,Pensioner,Incomplete higher,Single / not married,Office apartment,-21966,-130,1,1,0,1,Cooking staff,5
100200,M,N,N,4,352500,State servant,Higher education,Widow,With parents,-11933,-104,1,1,0,0,IT staff,6
100201,F,Y,N,0,484500,Pensioner,Secondary / secondary special,Married,Office apartment,-14804,-6878,1,1,0,0,,2
100202,M,Y,N,0,408500,Pensioner,Lower secondary,Single / not married,Office apartment,-10131,-8280,1,0,1,0,Cooking staff,1
100203,M,Y,N,3,183500,Pensioner,Lower secondary,Civil marriage,Rented apartment,-21835,-4455,1,0,0,0,Managers,4
100204,M,Y,N,1,288500,Pensioner,Lower secondary,Single / not married,Office apartment,-18740,-12621,1,0,1,1,Security staff,3
100205,M,Y,N,0,473000,Student,Secondary / secondary special,Married,Rented apartment,-11860,-1494,1,0,1,1,IT staff,1
100206,F,Y,Y,2,257000,State servant,Academic degree,Widow,With parents,-10103,-7570,1,0,0,0,Laborers,3
100207,M,Y,N,1,240500,Working,Academic degree,Widow,Rented apartment,-9457,-357,1,0,0,1,Managers,2
100208,M,Y,N,2,75500,Commercial associate,Academic degree,Separated,Municipal apartment,-23257,-483,1,1,1,0,Accountants,3
100209,F,N,N,1,126000,Working,Academic degree,Widow,Office apartment,-15053,-10605,1,1,1,1,IT staff,3
100210,M,N,N,0,120000,State servant,Higher education,Widow,With parents,-24814,-13022,1,0,1,1,Security staff,2
100211,F,N,N,2,142000,Working,Incomplete higher,Widow,With parents,-7960,-14676,1,1,0,1,IT staff,4
100212,M,Y,Y,4,176500,Commercial associate,Incomplete higher,Widow,House / apartment,-14189,-9432,1,1,1,0,Managers,5
100213,F,N,Y,4,410000,Pensioner,Academic degree,Widow,With parents,-13168,-13708,1,1,1,0,Security staff,5
100214,M,Y,Y,0,60000,Student,Lower secondary,Single / not married,Rented apartment,-13601,-13212,1,0,1,0,Accountants,1
100215,M,Y,Y,0,483000,Student,Incomplete higher,Single / not married,Rented apartment,-19962,-9601,1,0,1,1,Accountants,1
100216,F,N,N,1,139000,Student,Academic degree,Civil marriage,With parents,-12745,-6199,1,1,1,0,Managers,2
100217,F,Y,Y,4,358000,Pensioner,Academic degree,Married,Office apartment,-10411,-8129,1,0,1,0,Sales staff,6
100218,M,Y,N,2,278500,Working,Incomplete higher,Married,With parents,-9221,-5742,1,1,0,0,Laborers,4
100219,F,Y,N,3,302000,State servant,Incomplete higher,Widow,Municipal apartment,-10323,-13579,1,1,0,0,Security staff,4
100220,F,Y,N,0,183500,Working,Secondary / secondary special,Civil marriage,With parents,-19303,-2636,1,0,0,1,Cooking staff,2
100221,F,Y,N,0,130000,Working,Secondary / secondary special,Civil marriage,With parents,-13225,-6705,1,1,1,1,Sales staff,1
100222,F,N,Y,0,77500,Pensioner,Secondary / secondary special,Separated,House / apartment,-16651,-13498,1,1,0,0,Laborers,1
